"cumulative_deaths","date_death_report","deaths","province"
164,"29-05-2020",0,"BC"
164,"30-05-2020",0,"BC"
164,"31-05-2020",0,"BC"
165,"01-06-2020",1,"BC"
165,"02-06-2020",0,"BC"
166,"03-06-2020",1,"BC"
166,"04-06-2020",0,"BC"
167,"05-06-2020",1,"BC"
167,"06-06-2020",0,"BC"
167,"07-06-2020",0,"BC"
167,"08-06-2020",0,"BC"
167,"09-06-2020",0,"BC"
167,"10-06-2020",0,"BC"
167,"11-06-2020",0,"BC"
168,"12-06-2020",1,"BC"
168,"13-06-2020",0,"BC"
168,"14-06-2020",0,"BC"
168,"15-06-2020",0,"BC"
168,"16-06-2020",0,"BC"
168,"17-06-2020",0,"BC"
168,"18-06-2020",0,"BC"
168,"19-06-2020",0,"BC"
168,"20-06-2020",0,"BC"
168,"21-06-2020",0,"BC"
169,"22-06-2020",1,"BC"
170,"23-06-2020",1,"BC"
171,"24-06-2020",1,"BC"
173,"25-06-2020",2,"BC"
174,"26-06-2020",1,"BC"
174,"27-06-2020",0,"BC"
174,"28-06-2020",0,"BC"
174,"29-06-2020",0,"BC"
174,"30-06-2020",0,"BC"
174,"01-07-2020",0,"BC"
177,"02-07-2020",3,"BC"
177,"03-07-2020",0,"BC"
177,"04-07-2020",0,"BC"
177,"05-07-2020",0,"BC"
183,"06-07-2020",6,"BC"
183,"07-07-2020",0,"BC"
186,"08-07-2020",3,"BC"
186,"09-07-2020",0,"BC"
187,"10-07-2020",1,"BC"
187,"11-07-2020",0,"BC"
187,"12-07-2020",0,"BC"
189,"13-07-2020",2,"BC"
189,"14-07-2020",0,"BC"
189,"15-07-2020",0,"BC"
189,"16-07-2020",0,"BC"
189,"17-07-2020",0,"BC"
189,"18-07-2020",0,"BC"
189,"19-07-2020",0,"BC"
189,"20-07-2020",0,"BC"
189,"21-07-2020",0,"BC"
189,"22-07-2020",0,"BC"
190,"23-07-2020",1,"BC"
191,"24-07-2020",1,"BC"
191,"25-07-2020",0,"BC"
191,"26-07-2020",0,"BC"
193,"27-07-2020",2,"BC"
194,"28-07-2020",1,"BC"
194,"29-07-2020",0,"BC"
194,"30-07-2020",0,"BC"
195,"31-07-2020",1,"BC"
195,"01-08-2020",0,"BC"
195,"02-08-2020",0,"BC"
195,"03-08-2020",0,"BC"
195,"04-08-2020",0,"BC"
195,"05-08-2020",0,"BC"
195,"06-08-2020",0,"BC"
195,"07-08-2020",0,"BC"
195,"08-08-2020",0,"BC"
195,"09-08-2020",0,"BC"
195,"10-08-2020",0,"BC"
195,"11-08-2020",0,"BC"
196,"12-08-2020",1,"BC"
196,"13-08-2020",0,"BC"
196,"14-08-2020",0,"BC"
196,"15-08-2020",0,"BC"
196,"16-08-2020",0,"BC"
198,"17-08-2020",2,"BC"
198,"18-08-2020",0,"BC"
198,"19-08-2020",0,"BC"
200,"20-08-2020",2,"BC"
202,"21-08-2020",2,"BC"
202,"22-08-2020",0,"BC"
202,"23-08-2020",0,"BC"
203,"24-08-2020",1,"BC"
203,"25-08-2020",0,"BC"
203,"26-08-2020",0,"BC"
204,"27-08-2020",1,"BC"
204,"28-08-2020",0,"BC"
204,"29-08-2020",0,"BC"
204,"30-08-2020",0,"BC"
208,"31-08-2020",4,"BC"
209,"01-09-2020",1,"BC"
209,"02-09-2020",0,"BC"
210,"03-09-2020",1,"BC"
211,"04-09-2020",1,"BC"
211,"05-09-2020",0,"BC"
211,"06-09-2020",0,"BC"
211,"07-09-2020",0,"BC"
213,"08-09-2020",2,"BC"
213,"09-09-2020",0,"BC"
213,"10-09-2020",0,"BC"
213,"11-09-2020",0,"BC"
213,"12-09-2020",0,"BC"
213,"13-09-2020",0,"BC"
219,"14-09-2020",6,"BC"
219,"15-09-2020",0,"BC"
219,"16-09-2020",0,"BC"
220,"17-09-2020",1,"BC"
223,"18-09-2020",3,"BC"
223,"19-09-2020",0,"BC"
223,"20-09-2020",0,"BC"
227,"21-09-2020",4,"BC"
227,"22-09-2020",0,"BC"
227,"23-09-2020",0,"BC"
229,"24-09-2020",2,"BC"
230,"25-09-2020",1,"BC"
230,"26-09-2020",0,"BC"
230,"27-09-2020",0,"BC"
233,"28-09-2020",3,"BC"
234,"29-09-2020",1,"BC"
234,"30-09-2020",0,"BC"
235,"01-10-2020",1,"BC"
238,"02-10-2020",3,"BC"
238,"03-10-2020",0,"BC"
238,"04-10-2020",0,"BC"
242,"05-10-2020",4,"BC"
244,"06-10-2020",2,"BC"
244,"07-10-2020",0,"BC"
245,"08-10-2020",1,"BC"
245,"09-10-2020",0,"BC"
245,"10-10-2020",0,"BC"
245,"11-10-2020",0,"BC"
245,"12-10-2020",0,"BC"
250,"13-10-2020",5,"BC"
250,"14-10-2020",0,"BC"
250,"15-10-2020",0,"BC"
251,"16-10-2020",1,"BC"
251,"17-10-2020",0,"BC"
251,"18-10-2020",0,"BC"
253,"19-10-2020",2,"BC"
254,"20-10-2020",1,"BC"
256,"21-10-2020",2,"BC"
256,"22-10-2020",0,"BC"
256,"23-10-2020",0,"BC"
256,"24-10-2020",0,"BC"
256,"25-10-2020",0,"BC"
259,"26-10-2020",3,"BC"
259,"27-10-2020",0,"BC"
261,"28-10-2020",2,"BC"
262,"29-10-2020",1,"BC"
263,"30-10-2020",1,"BC"
263,"31-10-2020",0,"BC"
263,"01-11-2020",0,"BC"
269,"02-11-2020",6,"BC"
272,"03-11-2020",3,"BC"
273,"04-11-2020",1,"BC"
273,"05-11-2020",0,"BC"
275,"06-11-2020",2,"BC"
276,"07-11-2020",1,"BC"
276,"08-11-2020",0,"BC"
281,"09-11-2020",5,"BC"
284,"10-11-2020",3,"BC"
284,"11-11-2020",0,"BC"
288,"12-11-2020",4,"BC"
290,"13-11-2020",2,"BC"
290,"14-11-2020",0,"BC"
290,"15-11-2020",0,"BC"
299,"16-11-2020",9,"BC"
310,"17-11-2020",11,"BC"
320,"18-11-2020",10,"BC"
321,"19-11-2020",1,"BC"
331,"20-11-2020",10,"BC"
331,"21-11-2020",0,"BC"
331,"22-11-2020",0,"BC"
348,"23-11-2020",17,"BC"
358,"24-11-2020",10,"BC"
371,"25-11-2020",13,"BC"
384,"26-11-2020",13,"BC"
395,"27-11-2020",11,"BC"
395,"28-11-2020",0,"BC"
395,"29-11-2020",0,"BC"
441,"30-11-2020",46,"BC"
457,"01-12-2020",16,"BC"
469,"02-12-2020",12,"BC"
481,"03-12-2020",12,"BC"
492,"04-12-2020",11,"BC"
492,"05-12-2020",0,"BC"
492,"06-12-2020",0,"BC"
527,"07-12-2020",35,"BC"
543,"08-12-2020",16,"BC"
559,"09-12-2020",16,"BC"
587,"10-12-2020",28,"BC"
598,"11-12-2020",11,"BC"
598,"12-12-2020",0,"BC"
598,"13-12-2020",0,"BC"
647,"14-12-2020",49,"BC"
668,"15-12-2020",21,"BC"
692,"16-12-2020",24,"BC"
713,"17-12-2020",21,"BC"
724,"18-12-2020",11,"BC"
724,"19-12-2020",0,"BC"
724,"20-12-2020",0,"BC"
765,"21-12-2020",41,"BC"
777,"22-12-2020",12,"BC"
796,"23-12-2020",19,"BC"
808,"24-12-2020",12,"BC"
808,"25-12-2020",0,"BC"
808,"26-12-2020",0,"BC"
808,"27-12-2020",0,"BC"
808,"28-12-2020",0,"BC"
882,"29-12-2020",74,"BC"
893,"30-12-2020",11,"BC"
901,"31-12-2020",8,"BC"
901,"01-01-2021",0,"BC"
901,"02-01-2021",0,"BC"
901,"03-01-2021",0,"BC"
946,"04-01-2021",45,"BC"
954,"05-01-2021",8,"BC"
962,"06-01-2021",8,"BC"
970,"07-01-2021",8,"BC"
988,"08-01-2021",18,"BC"
988,"09-01-2021",0,"BC"
988,"10-01-2021",0,"BC"
1010,"11-01-2021",22,"BC"
1019,"12-01-2021",9,"BC"
1031,"13-01-2021",12,"BC"
1038,"14-01-2021",7,"BC"
1047,"15-01-2021",9,"BC"
1047,"16-01-2021",0,"BC"
1047,"17-01-2021",0,"BC"
1078,"18-01-2021",31,"BC"
1090,"19-01-2021",12,"BC"
1104,"20-01-2021",14,"BC"
1119,"21-01-2021",15,"BC"
0,"08-03-2020",0,"Manitoba"
0,"09-03-2020",0,"Manitoba"
0,"10-03-2020",0,"Manitoba"
0,"11-03-2020",0,"Manitoba"
0,"12-03-2020",0,"Manitoba"
0,"13-03-2020",0,"Manitoba"
0,"14-03-2020",0,"Manitoba"
0,"15-03-2020",0,"Manitoba"
0,"16-03-2020",0,"Manitoba"
0,"17-03-2020",0,"Manitoba"
0,"18-03-2020",0,"Manitoba"
0,"19-03-2020",0,"Manitoba"
0,"20-03-2020",0,"Manitoba"
0,"21-03-2020",0,"Manitoba"
0,"22-03-2020",0,"Manitoba"
0,"23-03-2020",0,"Manitoba"
0,"24-03-2020",0,"Manitoba"
0,"25-03-2020",0,"Manitoba"
0,"26-03-2020",0,"Manitoba"
1,"27-03-2020",1,"Manitoba"
